Orthogroup	caenorhabditis_elegans.PRJNA13758	nxOscDolc1.1	nxOscOnir1.2	nxOscSper1.1	nxOscSpeu1.1	nxOscTipu1.1	Total
OG0000537	0	2	2	3	4	4	15
OG0000538	0	5	5	1	3	1	15
OG0000539	0	3	3	4	3	2	15
OG0000540	0	2	4	0	5	4	15
OG0000541	0	4	4	3	3	1	15
OG0000542	0	1	1	0	8	5	15
OG0000543	0	1	2	1	7	4	15
OG0000544	0	0	1	11	2	1	15
OG0000545	0	0	7	0	0	8	15
OG0000546	0	0	0	8	7	0	15
OG0000547	2	3	2	2	2	3	14
OG0000548	1	2	3	2	2	4	14
OG0000549	2	4	2	1	4	1	14
OG0000550	3	3	2	2	2	2	14
OG0000551	2	4	2	2	2	2	14
OG0000552	3	2	2	3	2	2	14
OG0000553	1	2	3	2	1	5	14
OG0000554	4	2	2	2	2	2	14
OG0000555	2	5	2	1	2	2	14
OG0000556	2	4	2	2	2	2	14
OG0000557	1	5	5	1	2	0	14
OG0000558	2	1	4	2	3	2	14
OG0000559	2	3	2	3	2	2	14
OG0000560	14	0	0	0	0	0	14
OG0000561	1	3	2	3	3	2	14
OG0000562	1	2	2	3	4	2	14
OG0000563	14	0	0	0	0	0	14
OG0000564	1	2	3	2	3	3	14
OG0000565	4	2	2	2	2	2	14
OG0000566	4	2	2	2	2	2	14
OG0000567	3	2	6	1	1	1	14
OG0000568	14	0	0	0	0	0	14
OG0000569	4	2	2	1	4	1	14
OG0000570	14	0	0	0	0	0	14
OG0000571	2	5	2	1	2	2	14
OG0000572	7	2	2	0	1	2	14
OG0000573	8	1	1	1	2	1	14
OG0000574	6	2	2	1	2	1	14
OG0000575	2	4	3	1	2	2	14
OG0000576	7	0	2	1	3	1	14
OG0000577	2	3	2	2	3	2	14
OG0000578	1	3	1	2	2	5	14
OG0000579	2	2	3	1	3	3	14
OG0000580	14	0	0	0	0	0	14
OG0000581	2	3	3	2	2	2	14
OG0000582	11	0	1	0	1	1	14
OG0000583	1	3	2	1	5	2	14
OG0000584	1	0	10	0	0	3	14
OG0000585	3	4	4	1	1	1	14
OG0000586	2	4	1	3	3	1	14
OG0000587	3	2	3	1	2	3	14
OG0000588	2	2	2	3	3	2	14
OG0000589	5	1	2	2	2	2	14
OG0000590	1	4	2	2	3	2	14
OG0000591	1	3	5	1	2	2	14
OG0000592	3	3	2	2	2	2	14
OG0000593	4	1	4	1	2	2	14
OG0000594	2	1	3	3	3	2	14
OG0000595	1	5	3	1	2	2	14
OG0000596	1	3	3	2	3	2	14
OG0000597	1	3	1	1	7	1	14
OG0000598	1	4	2	2	2	3	14
OG0000599	1	3	3	3	2	2	14
OG0000600	1	1	2	1	6	3	14
OG0000601	1	7	1	2	1	2	14
OG0000602	1	1	3	3	1	5	14
OG0000603	2	2	1	4	3	2	14
OG0000604	3	3	2	2	2	2	14
OG0000605	1	4	2	2	3	2	14
OG0000606	1	3	2	4	2	2	14
OG0000607	0	12	1	0	0	1	14
OG0000608	0	14	0	0	0	0	14
OG0000609	0	2	7	1	2	2	14
OG0000610	0	2	1	5	5	1	14
OG0000611	0	2	8	0	3	1	14
OG0000612	0	13	0	0	1	0	14
OG0000613	0	3	3	1	3	4	14
OG0000614	0	8	0	2	3	1	14
OG0000615	0	4	2	3	3	2	14
OG0000616	0	4	2	2	3	3	14
OG0000617	0	5	1	2	5	1	14
OG0000618	0	1	11	0	0	2	14
OG0000619	0	8	2	1	1	2	14
OG0000620	0	4	1	2	4	3	14
OG0000621	0	3	2	3	4	2	14
OG0000622	0	1	3	3	2	5	14
OG0000623	0	1	2	3	6	2	14
OG0000624	0	2	7	2	1	2	14
OG0000625	0	1	0	13	0	0	14
OG0000626	0	2	3	2	3	4	14
OG0000627	0	1	4	2	3	4	14
OG0000628	0	1	3	3	4	3	14
OG0000629	0	3	3	1	5	2	14
OG0000630	0	0	4	5	0	5	14
OG0000631	0	0	2	2	7	3	14
OG0000632	0	0	1	12	1	0	14
OG0000633	0	0	13	0	0	1	14
OG0000634	0	0	1	2	10	1	14
OG0000635	0	0	1	0	0	13	14
OG0000636	0	0	0	14	0	0	14
OG0000637	0	0	0	14	0	0	14
OG0000638	0	0	0	1	12	1	14
OG0000639	0	0	0	0	14	0	14
OG0000640	0	0	0	0	13	1	14
OG0000641	0	0	0	0	14	0	14
OG0000642	0	0	0	0	14	0	14
OG0000643	2	3	2	2	2	2	13
OG0000644	3	2	2	2	2	2	13
OG0000645	2	2	3	2	2	2	13
OG0000646	5	1	2	2	2	1	13
OG0000647	2	2	2	1	4	2	13
OG0000648	1	2	3	1	4	2	13
OG0000649	1	2	4	2	2	2	13
OG0000650	2	2	1	3	4	1	13
OG0000651	2	3	2	2	2	2	13
OG0000652	7	2	1	1	1	1	13
OG0000653	1	0	6	1	2	3	13
OG0000654	2	2	2	2	2	3	13
OG0000655	1	4	2	2	2	2	13
OG0000656	6	2	1	1	2	1	13
OG0000657	1	3	2	2	3	2	13
OG0000658	1	4	2	1	4	1	13
OG0000659	1	2	4	1	2	3	13
OG0000660	2	1	2	2	4	2	13
OG0000661	2	3	2	2	2	2	13
OG0000662	2	2	3	2	2	2	13
OG0000663	2	1	2	1	4	3	13
OG0000664	2	2	2	3	2	2	13
OG0000665	2	2	2	2	3	2	13
OG0000666	2	2	2	2	3	2	13
OG0000667	2	2	2	3	2	2	13
OG0000668	13	0	0	0	0	0	13
OG0000669	3	2	5	1	1	1	13
OG0000670	6	3	4	0	0	0	13
OG0000671	4	2	1	2	2	2	13
OG0000672	2	7	1	1	1	1	13
OG0000673	1	2	3	3	1	3	13
OG0000674	2	2	3	2	2	2	13
OG0000675	4	1	2	2	2	2	13
OG0000676	2	2	3	3	1	2	13
OG0000677	2	3	2	2	3	1	13
